k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
400,2-3,33382978.35534554,-32.48754789972058,2,0-1-3,9.935421039544373,-1.166299854163909,3
402,0-3,15408255.533161972,-31.62978181925361,2,0-1-3,9.93334181078164,-1.161925991888543,3
404,0-3,26643433.814055774,-32.72077074594308,2,0-1-3,9.93289094684733,-1.1580894073089194,3
406,2-3,20073955.164592776,-31.460800107968517,2,0-1-3,9.934100298193119,-1.1548104938254866,3
408,2-3,18041268.0127876,-31.244664891698626,2,0-1-3,9.93699718422035,-1.152108005450303,3
410,2-3,23695655.144247375,-31.78760751793665,2,0-1-3,9.94160415814103,-1.1499989242019026,3
412,0-3,15276504.47332404,-31.592674887669688,2,0-1-3,9.94793878501649,-1.148498334179596,3
414,0-3,22323264.13498209,-32.34784011871274,2,0-1-3,9.956013435619855,-1.1476193039111315,3
416,2-3,23124125.416970033,-31.733685553156107,2,0-1-3,9.965835098723726,-1.1473727785226213,3
418,2-3,18419589.62597064,-31.277709572402888,2,0-1-3,9.977405214420898,-1.1477674832260734,3
420,1-3,44317094.06092372,-32.29608573802278,2,0-1-3,9.990719531032266,-1.1488098395388273,3
422,0-3,58654253.52155989,-34.268242807619444,2,0-1-3,10.005767987982683,-1.1505038955060134,3
424,2-3,16862829.590836033,-31.099952295924144,2,0-1-3,10.022534626948746,-1.1528512710748213,3
426,1-3,25583807.225065622,-31.191636545452155,2,0-1-3,10.040997533338725,-1.1558511195777168,3
428,2-3,18508719.50780649,-31.287142410830175,2,0-1-3,10.06112880991563,-1.159500106082679,3
430,0-3,18428379.45530715,-31.94508734004324,2,0-1-3,10.082894584116836,-1.1637924031574447,3
432,2-3,14365445.174329279,-30.782598032462573,2,0-1-3,10.10625505024795,-1.168719704344534,3
434,0-3,10980360.706348622,-30.907411390422116,2,0-1-3,10.131164547444843,-1.1742712554200399,3
436,1-3,29006334.496993,-31.43995171146397,2,0-1-3,10.157571673810294,-1.1804339032342286,3
438,2-3,12355229.439681714,-30.48703093577258,2,0-1-3,10.185419436802682,-1.1871921617033467,3
440,1-2,47863723.81864067,-34.14809648584062,2,0-1-3,10.21464543946877,-1.1945282942658269,3
442,0-3,14448960.97757935,-31.45587457094362,2,0-1-3,10.245182101712631,-1.202422411897297,3
444,1-3,44306972.54219483,-32.29107548808181,2,0-1-3,10.276956915326071,-1.2108525855571344,3
446,2-3,16377746.290230818,-31.063004481808356,2,0-1-3,10.309892731104117,-1.2197949717565377,3
448,0-1,47742724.37917488,-33.25295515815378,2,0-1-3,10.343908075944206,-1.2292239497733712,3
450,1-3,44307543.07284751,-32.29746312266763,2,0-1-3,10.378917497463071,-1.2391122689071814,3
452,2-3,38762491.97007619,-32.79822532809254,2,0-1-3,10.414831933312543,-1.2494312040679567,3
454,,inf,-inf,0,0-1-3,10.451559102056978,-1.2601507179209799,3
