t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
73.26,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5999356637068218,0.5116666666667204,low_power,0.2302048515129128,0.00011776261020062647,0.27088235294120494,0.13487192898928801
73.27,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6000548860218058,0.5116000000000538,low_power,0.2301777476271664,0.00011778203249678527,0.2708470588235579,0.1348832236507036
73.28,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6001752276418051,0.5115333333333871,low_power,0.23015065684715666,0.00011790604532847207,0.27081176470591084,0.13489454477895113
73.29,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6002960636256143,0.5114666666667205,low_power,0.23012355763651182,0.00011791922732100048,0.27077647058826376,0.13490589243168694
73.3,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.571370196974148,0.5114000000000538,low_power,0.23009290330643192,0.00011809580727250569,0.27074117647061674,0.13488152549211274
73.31,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5714050077710525,0.5113333333333872,low_power,0.23006580176406521,0.00011810860798467048,0.27070588235296966,0.13489285020890995
73.32000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5715004943503024,0.5112666666667205,low_power,0.2300386947103112,0.0001180401094859737,0.27067058823532264,0.13490420111104462
73.33,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5715379467055265,0.5112000000000538,low_power,0.23001159791392228,0.00011804814933569358,0.27063529411767556,0.13491557804848264
73.34,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5715758061594186,0.5111333333333872,low_power,0.2299845056906067,0.0001180759008165866,0.2706000000000285,0.13492698100502254
73.35000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6098991708799054,0.5110666666667205,low_power,0.2299528753260567,0.00011826387757777106,0.27056470588238146,0.13489284232393728
73.36,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6099402710601122,0.5110000000000539,low_power,0.2299257672572529,0.00011818430979371701,0.2705294117647344,0.1349041941448601
73.37,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.609983509863836,0.5109333333333872,low_power,0.22989867131246589,0.00011820030955389719,0.27049411764708736,0.13491557163840595
73.38,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6100300636446546,0.5108666666667205,low_power,0.22987155915341373,0.00011802834625384019,0.2704588235294403,0.1349269749523614
73.39,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6100754429443216,0.5108000000000539,low_power,0.2298444663725609,0.00011802466210185554,0.2704235294117932,0.13493840376916144
73.4,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5981455816027521,0.5107333333333872,low_power,0.22981357725143292,0.00011778819193075664,0.2703882352941462,0.13491210196922887
73.41,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5981246407558318,0.5106666666667206,low_power,0.22978647985556666,0.00011777802543973706,0.2703529411764991,0.13492349111823398
73.42,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5981605110113489,0.5106000000000539,low_power,0.22975939796360442,0.00011789767300900832,0.2703176470588521,0.13493490549221843
73.43,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5982019359532189,0.5105333333333872,low_power,0.22973230686278304,0.00011789980691018388,0.270282352941205,0.13494634529128002
73.44,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5982379791516574,0.5104666666667206,low_power,0.22970525752551108,0.00011829471523536154,0.270247058823558,0.13495780995141138
73.45,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5972506866981137,0.5104000000000539,low_power,0.2296742420611099,0.00011829389116409129,0.2702117647059109,0.13493000907264763
73.46000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.597243988050198,0.5103333333333873,low_power,0.22964716052666373,0.00011841253103205393,0.27017647058826383,0.13494142802949438
73.47,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5972992377396608,0.5102666666667206,low_power,0.22962007046377747,0.00011842078528128354,0.2701411764706168,0.13495287208755857
73.48,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5973559194717448,0.5102000000000539,low_power,0.22959298743095508,0.00011847444135406543,0.27010588235296973,0.13496434104443866
73.49,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5973561070560309,0.5101333333333873,low_power,0.22956590119584383,0.00011847108697298446,0.2700705882353227,0.13497583498888344
73.5,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6036325742993373,0.5100666666667206,low_power,0.22953477246050769,0.00011837242004039309,0.27003529411767563,0.13494699924363152
73.51,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6036153114032903,0.510000000000054,low_power,0.22950768239406416,0.00011837371892831343,0.27000000000002855,0.13495845022148478
73.52,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6036583492747756,0.5099333333333873,low_power,0.22948059171809268,0.00011834423509158608,0.26996470588238153,0.13496992588678292
73.53,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6036448560579509,0.5098666666667206,low_power,0.22945350637632123,0.00011834345646584307,0.26992941176473445,0.13498142618887066
73.54,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6036893999097938,0.509800000000054,low_power,0.22942647316439294,0.00011883998298849139,0.26989411764708743,0.1349929504842411
73.55,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6007831084612365,0.5097333333333873,low_power,0.22939551324742793,0.0001188578913295045,0.26985882352944035,0.13496568634742678
73.56,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6007692063454291,0.5096666666667207,low_power,0.2293684354570153,0.00011895303365891662,0.2698235294117933,0.1349771662421475
73.57000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6008159266361124,0.509600000000054,low_power,0.22934135114740442,0.00011895845547221833,0.26978823529414625,0.134988670665402
73.58,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6008065257711309,0.5095333333333874,low_power,0.2293142688224373,0.00011895936931559068,0.2697529411764992,0.13500019944306385
73.59,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6007998850038203,0.5094666666667207,low_power,0.22928718850021523,0.00011895599342402131,0.26971764705885215,0.13501175253791098
73.60000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5612042106999517,0.509400000000054,low_power,0.2292568351384062,0.0001192028953273892,0.2696823529412051,0.1349903249590938
73.61,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.561219217917942,0.5093333333333874,low_power,0.22922975165794318,0.00011920145980704223,0.26964705882355805,0.1350018445311605
73.62,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.561179129982631,0.5092666666667207,low_power,0.22920268033046057,0.00011929760886248699,0.269611764705911,0.13501338804845542
73.63,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5611393185530601,0.509200000000054,low_power,0.22917560260959416,0.00011930560530562736,0.2695764705882639,0.1350249557845249
73.64,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5611003460199516,0.5091333333333874,low_power,0.22914851624893617,0.00011920301325511936,0.26954117647061687,0.13503654771117135
73.65,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5696459423688992,0.5090666666667207,low_power,0.22911740320605736,0.00011916000114869279,0.2695058823529698,0.13500781323566624
73.66,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5696514725770575,0.5090000000000541,low_power,0.22909033861548636,0.00011933123222551273,0.26947058823532277,0.13501934904005564
73.67,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5696571309666426,0.5089333333333874,low_power,0.22906325930073929,0.00011933108759203099,0.2694352941176757,0.13503090897839498
73.68,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5696711996381173,0.5088666666667208,low_power,0.22903620935943908,0.00011960128541590877,0.2694000000000286,0.13504249230874554
73.69,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5696214910364283,0.5088000000000541,low_power,0.2290091352058581,0.00011960508689448427,0.2693647058823816,0.13505409991263362
73.7,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5850394673925946,0.5087333333333874,low_power,0.22897796921893424,0.00012005908713083725,0.2693294117647345,0.1350243389843353
73.71000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5850738075863661,0.5086666666667208,low_power,0.22895088952889792,0.00012006245197445232,0.2692941176470875,0.1350358916603046
73.72,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.585106980943054,0.5086000000000541,low_power,0.22892380308697202,0.0001199744973900387,0.2692588235294404,0.13504746813680657
73.73,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5851463266148336,0.5085333333333875,low_power,0.22889672752099516,0.0001199718599894995,0.26922352941179334,0.13505906805561507
