t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
22.32,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.993368539519215,0.9999380277778517,cruise,0.26303344109137544,4.57939206460266e-05,0.7499535208333887,0.19012243940517914
22.330000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9937148546017059,0.9999380000000739,cruise,0.26303487079208504,4.580205467856473e-05,0.7499535000000555,0.19012959882364555
22.34,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.994009854814038,0.9999379722222962,cruise,0.2630362928096656,4.57906902050586e-05,0.7499534791667222,0.1901367685727321
22.35,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,1.000011205190918,0.9999379444445184,cruise,0.2630294724143747,4.579873095352913e-05,0.7499534583333889,0.19010267774440648
22.36,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,1.0004270927196774,0.9999379166667407,cruise,0.26303091188859573,4.582965553253267e-05,0.7499534375000555,0.19010982905406415
22.37,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,1.000779409997633,0.999937888888963,cruise,0.2630323433186346,4.58403414913354e-05,0.7499534166667222,0.1901169907393614
22.38,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,1.001164670815641,0.9999378611111852,cruise,0.26303378082441164,4.585668400933226e-05,0.7499533958333889,0.19012416866195136
22.39,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,1.0015122154015188,0.9999378333334075,cruise,0.2630352160048293,4.586343001743316e-05,0.7499533750000555,0.19013135894901967
22.400000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9929339110363965,0.9999378055556297,cruise,0.26302821454410924,4.5853104023248236e-05,0.7499533541667223,0.19009640871040467
22.41,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.993266937991562,0.999937777777852,cruise,0.2630296472473945,4.5867354398325024e-05,0.749953333333389,0.19010356785089344
22.42,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9935444932757007,0.9999377500000742,cruise,0.2630310683238569,4.5854249356499375e-05,0.7499533125000557,0.19011073724580974
22.43,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9938731480290038,0.9999377222222965,cruise,0.2630325019654012,4.585894197293463e-05,0.7499532916667224,0.19011792497198987
22.44,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9942152637158164,0.9999376944445187,cruise,0.2630339316259637,4.5851329487218866e-05,0.749953270833389,0.19012512355601707
22.45,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9924770804064464,0.999937666666741,cruise,0.26302710002804763,4.5865522408025044e-05,0.7499532500000557,0.1900909613341344
22.46,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9927873336178269,0.9999376388889633,cruise,0.26302852801727994,4.586527014355551e-05,0.7499532291667225,0.19009813316095714
22.47,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9931736219355641,0.9999376111111855,cruise,0.26302996544238455,4.5877503254690756e-05,0.7499532083333891,0.19010532095370247
22.48,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9935124993977782,0.9999375833334078,cruise,0.263031404897232,4.5887799673060364e-05,0.7499531875000558,0.19011252373689358
