t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
271.84000000000003,0.8411366726654699,1.485550073119556,0.0,,nan,nan,nan,nan,uncertainty_gated
271.85,0.8713704171713886,1.4854038315355553,0.0,,nan,nan,nan,nan,uncertainty_gated
271.86,0.8715508901182387,1.4855109318358042,0.0,,nan,nan,nan,nan,uncertainty_gated
271.87,0.8717490121683953,1.4856196417431569,0.0,,nan,nan,nan,nan,uncertainty_gated
271.88,0.8719384928544325,1.4857271071485463,0.0,,nan,nan,nan,nan,uncertainty_gated
271.89,0.8721348509224689,1.4858361815265795,0.0,,nan,nan,nan,nan,uncertainty_gated
271.9,0.8547796124453233,1.4856883346668233,0.0,,nan,nan,nan,nan,uncertainty_gated
271.91,0.8549457382376769,1.4857969173560757,0.0,,nan,nan,nan,nan,uncertainty_gated
271.92,0.855110302703303,1.4859042591389608,0.0,,nan,nan,nan,nan,uncertainty_gated
271.93,0.8552802014471711,1.4860132057836881,0.0,,nan,nan,nan,nan,uncertainty_gated
271.94,0.8554357229093048,1.4861209130101514,0.0,,nan,nan,nan,nan,uncertainty_gated
271.95,0.8405563600182824,1.4859743113303487,0.0,,nan,nan,nan,nan,uncertainty_gated
271.96,0.8406746792727918,1.4860815290190268,0.0,,nan,nan,nan,nan,uncertainty_gated
271.97,0.8408205597513804,1.4861903478691265,0.0,,nan,nan,nan,nan,uncertainty_gated
271.98,0.8409364028426283,1.4862979302870574,0.0,,nan,nan,nan,nan,uncertainty_gated
271.99,0.841074728723073,1.4864071137394215,0.0,,nan,nan,nan,nan,uncertainty_gated
272.0,0.808775735747979,1.4862589167352898,0.0,,nan,nan,nan,nan,uncertainty_gated
272.01,0.8088573754107016,1.4863676077203538,0.0,,nan,nan,nan,nan,uncertainty_gated
272.02,0.8089357031754909,1.4864750648968095,0.0,,nan,nan,nan,nan,uncertainty_gated
272.03000000000003,0.8090138567048605,1.4865841199530354,0.0,,nan,nan,nan,nan,uncertainty_gated
272.04,0.8091016473502302,1.486691942239827,0.0,,nan,nan,nan,nan,uncertainty_gated
272.05,0.8559398482155577,1.486544985294807,0.0,,nan,nan,nan,nan,uncertainty_gated
272.06,0.8561066169003742,1.486652316822733,0.0,,nan,nan,nan,nan,uncertainty_gated
272.07,0.8562576373232896,1.4867612433990152,0.0,,nan,nan,nan,nan,uncertainty_gated
272.08,0.8564106238786658,1.4868689393501247,0.0,,nan,nan,nan,nan,uncertainty_gated
272.09000000000003,0.8565649340249337,1.4869782306234203,0.0,,nan,nan,nan,nan,uncertainty_gated
272.1,0.8638834011605655,1.4868296860673156,0.0,,nan,nan,nan,nan,uncertainty_gated
272.11,0.8640531441623241,1.4869384840735438,0.0,,nan,nan,nan,nan,uncertainty_gated
272.12,0.8642167015655601,1.4870460533170304,0.0,,nan,nan,nan,nan,uncertainty_gated
272.13,0.864391669213988,1.4871552154767531,0.0,,nan,nan,nan,nan,uncertainty_gated
272.14,0.864547181377899,1.4872631495629811,0.0,,nan,nan,nan,nan,uncertainty_gated
272.15,0.8429928852662537,1.4871158419929684,0.0,,nan,nan,nan,nan,uncertainty_gated
272.16,0.8431143435801177,1.4872232841801816,0.0,,nan,nan,nan,nan,uncertainty_gated
272.17,0.8432290366932773,1.487332317126701,0.0,,nan,nan,nan,nan,uncertainty_gated
272.18,0.8433390894419,1.4874401234936983,0.0,,nan,nan,nan,nan,uncertainty_gated
272.19,0.8434633139568859,1.4875495212034395,0.0,,nan,nan,nan,nan,uncertainty_gated
272.2,0.8366702706954696,1.4874006319980544,0.0,,nan,nan,nan,nan,uncertainty_gated
